client,tau,theta*,final_pnl
A,5,0.48,11056.172979999963
A,10,0.48,13464.495360000077
A,15,0.52,14573.600244999998
A,20,0.48,17230.924912000057
A,25,0.51,19790.280434000066
A,30,0.56,21029.373905000062
B,5,0.48,9526.381157000029
B,10,0.48,10520.829790000096
B,15,0.5700000000000001,11878.794950000123
B,20,0.53,12223.26220700004
B,25,0.55,13961.762849000028
B,30,0.48,15048.100900000087
C,5,0.56,8653.709557000002
C,10,0.48,9164.484369999984
C,15,0.5700000000000001,9661.333440999997
C,20,0.52,9417.051769999915
C,25,0.52,9657.737783999954
C,30,0.5,9403.79049600004
D,5,0.51,4900.571141000028
D,10,0.6,3610.40496799999
D,15,0.49,1669.7474310000202
D,20,0.51,18.366983999961008
D,25,0.48,331.3087450000038
D,30,0.51,-833.6392340000118
E,5,0.46,3147.140924000016
E,10,0.38,-2.3219890000010537
E,15,0.48,527.3383230000229
E,20,0.42,0.0
E,25,0.0,0.0
E,30,0.39,0.0
F,5,0.48,2312.672195000044
F,10,0.49,127.96788300000753
F,15,0.0,0.0
F,20,0.0,0.0
F,25,0.52,-149.50893000000832
F,30,0.5,1.6149470000005834
